qid,question,ground_truth
q_61,In what year did Lobund at Notre Dame become an Institute?,"[""1950""]"
q_62,The Lobund Institute was merged into the Department of Biology at Notre Dame in what year?,"[""1958""]"
q_63,When did study of a germ-free-life begin at Notre Dame?,"[""1928""]"
q_64,Gurian created what in 1939 at Notre Dame?,"[""The Review of Politics""]"
q_65,What was the Review of Politics inspired by?,"[""German Catholic journals""]"
q_66,Over how many years did Gurian edit the Review of Politics at Notre Dame?,"[""44""]"
q_67,Thomas Stritch was an editor of which publican from Notre Dame?,"[""Review of Politics""]"
q_68,Who was the president of Notre Dame in 2012?,"[""John Jenkins""]"
q_69,The Kellogg Institute for International Studies is part of which university?,"[""Notre Dame""]"
q_70,What does the Kroc Institute at Notre Dame focus on?,"[""International Peace studies""]"
q_71,In what year did Notre Dame begin to host the Global Adaptation Index?,"[""2013""]"
q_72,What threat does the Global Adaptation Index study?,"[""climate change""]"
q_73,How many undergrads were attending Notre Dame in 2014?,"[""8,448""]"
q_74,What percentage of students at Notre Dame are the children of former Notre Dame students?,"[""21–24%""]"
q_75,How many teams participate in the Notre Dame Bookstore Basketball tournament?,"[""over 700""]"
q_76,For what cause is money raised at the Bengal Bouts tournament at Notre Dame?,"[""the Holy Cross Missions in Bangladesh""]"
q_77,How many students in total were at Notre Dame in 2014?,"[""12,179""]"
q_78,What percentage of undergrads live on the Notre Dame campus?,"[""80%""]"
q_79,How many student housing areas are reserved for Notre Dame's graduate students?,"[""four""]"
q_80,How many dorms for males are on the Notre Dame campus?,"[""15""]"
q_81,What amount of the graduate student body at Notre Dame live on the campus?,"[""20%""]"
q_82,There are how many dorms for females at Notre Dame?,"[""14""]"
q_83,What is Congregation of Holy Cross in Latin?,"[""Congregatio a Sancta Cruce""]"
q_84,What percentage of Notre Dame students feel they are Christian?,"[""more than 93%""]"
q_85,How often is Catholic mass held at Notre Dame in a week?,"[""over 100 times""]"
q_86,How many chapels are on the Notre Dame campus?,"[""Fifty-seven""]"
q_87,What amount of the student body of Notre Dame identifies as Catholic?,"[""over 80%""]"
q_88,What was the music hall at Notre Dame called?,"[""Washington Hall""]"
q_89,In what year was the Main Building at Notre Dame razed in a fire?,"[""1879""]"
q_90,Who was the president of Notre Dame in 1879?,"[""Rev. William Corby""]"
q_91,On what date was the rebuilding of The Main Building begun at Notre Dame after the fire that claimed the previous?,"[""17th of May""]"
q_92,What did the Science Hall at Notre Dame come to be known as?,"[""LaFortune Student Center""]"
q_93,What type of education was pushed at Notre Dame before its embracing of national standards?,"[""scholastic and classical""]"
q_94,Which college did Notre Dame add in 1921?,"[""College of Commerce""]"
q_95,"In 1919 a new president of Notre Dame was named, who was it?","[""Father James Burns""]"
q_96,Over how many years did the change to national standards undertaken at Notre Dame in the early 20th century take place?,"[""three years""]"
q_97,Those who attended a Jesuit college may have been forbidden from joining which Law School due to the curricula at the Jesuit institution?,"[""Harvard Law School""]"
q_98,"The Notre Dame football team got a new head coach in 1918, who was it?","[""Knute Rockne""]"
q_99,What was the amount of wins Knute Rockne attained at Notre Dame while head coach?,"[""105""]"
q_100,In what year did the team lead by Knute Rockne win the Rose Bowl?,"[""1925""]"
q_101,How many years was Knute Rockne head coach at Notre Dame?,"[""13""]"
q_102,How many national titles were won when Knute Rockne coached at Notre Dame?,"[""three""]"
q_103,"Catholic people identified with Notre Dame, what religious group did people feel Yale represented?","[""the Protestant establishment""]"
q_104,Notre Dame students had a showdown in 1924 with which anti-catholic group?,"[""the Ku Klux Klan""]"
q_105,Which college president of Notre Dame is credited with preventing more confrontations between students and the KKK?,"[""Fr. Matthew Walsh""]"
q_106,What type of event did the Klan intend to have at Notre Dame in March of 1924?,"[""a week-long Klavern""]"
q_107,Where did Notre Dame students and the KKK have their encounter?,"[""South Bend""]"
q_108,Which person became vice-president of Notre Dame in 1933?,"[""Father John Francis O'Hara""]"
q_109,Who was the president of Notre Dame in 1934?,"[""Father John Francis O'Hara""]"
q_110,Irvin Abell was given what award by Notre Dame?,"[""Laetare Medal""]"
q_111,Which year was the Laetare Medal first given out at Notre Dame?,"[""1883""]"
q_112,For whos glory did Father O'Hara believed that the Notre Dame football team played?,"[""God""]"
q_113,Around the time that Rev. Cavanaugh became president of Notre Dame by how much did the undergrad student body of Notre Dame increase?,"[""more than half""]"
q_114,Which institute involving animal life did Cavanaugh create at Notre Dame?,"[""Lobund Institute for Animal Studies""]"
q_115,What is O'Shaughnessy Hall of Notre Dame formerly known as?,"[""Hall of Liberal Arts""]"
q_116,Which president did Notre Dame have in 1947?,"[""Rev. John J. Cavanaugh, C.S.C.""]"
q_117,"Outside of an institute studying animals, what other institute did Cavanugh create at Notre Dame?","[""Medieval Institute""]"
q_118,What was the lifespan of Theodore Hesburgh?,"[""1917–2015""]"
q_119,In the time that Hesburgh was president of Notre Dame by what factor did the operating budget increase?,"[""18""]"
q_120,What was the size of the Notre Dame endowment when Theodore Hesburgh became president?,"[""$9 million""]"
q_121,During what years was Theodor Hesburgh president of Notre Dame?,"[""1952–87""]"
q_122,How many faculty members were at Notre Dame when Hesburgh left the role of president?,"[""950""]"
q_123,What type of educational institute is Hesburgh given credit for creating at Notre Dame?,"[""coeducational""]"
q_124,Which role did Charles Sheedy have at Notre Dame?,"[""Dean of Arts and Letters""]"
q_125,What title did Thomas Blantz have at Notre Dame?,"[""Vice President of Student Affairs""]"
q_126,In what year did Notre Dame have its earliest undergraduate that was female?,"[""1971""]"
q_127,With what institute did Notre Dame agree to an exchange program in the 1960s?,"[""Saint Mary's College""]"
q_128,During what years was Edward Malloy president of Notre Dame?,"[""1987–2005""]"
q_129,"What was the SAT score, on average, at Notre Dame when Edward Malloy became president?","[""1240""]"
q_130,When Malloy became president of Notre Dame what was the size of the endowment?,"[""$350 million""]"
q_131,When Malloy reached the end of his time as president how much annuals funding for research did Notre Dame have?,"[""more than $70 million""]"
q_132,The amount of professors at Notre Dame increased by what amount under Malloy?,"[""500""]"
q_133,When did John Jenkins become the president of Notre Dame?,"[""2005""]"
q_134,"In terms of the amount of presidents Notre Dame has had, where is John Jenkins on the list?","[""17th""]"
q_135,Who was the Notre Dame president that preceded John Jenkins?,"[""Malloy""]"
q_136,Which arena was constructed under Jenkins at Notre Dame?,"[""Compton Family Ice Arena""]"
q_137,How much money was spent on enhancing Notre Dame Stadium under John Jenkins?,"[""$400m""]"
q_138,Which congregation is in charge of the Old College at Notre Dame?,"[""Congregation of Holy Cross""]"
q_139,What structure is found on the location of the original church of Father Sorin at Notre Dame?,"[""Basilica of the Sacred Heart""]"
q_140,In which architectural style is the Basilica of the Sacred Heart at Notre Dame made?,"[""French Revival""]"
q_141,Which individual painted the inside of the Basilica of the Sacred Heart at Notre Dame?,"[""Luigi Gregori""]"
q_142,In what year was the Grotto of Our Lady of Lourdes at Notre Dame constructed?,"[""1896""]"
q_143,Which person oversaw the creation of a science hall at Notre Dame in 1883?,"[""Fr. Zahm""]"
q_144,In what year did the student union building at Notre Dame get renamed to LaFortune Center?,"[""1950""]"
q_145,After which individual was the LaFortune Center Notre Dame named?,"[""Joseph LaFortune""]"
q_146,How large in square feet is the LaFortune Center at Notre Dame?,"[""83,000 square feet""]"
q_147,What is the annual budget of Notre Dame's LaFortune Center?,"[""$1.2 million""]"
q_148,How many halls are at Notre Dame that house students?,"[""29""]"
q_149,Which library was built at Notre Dame in 1963?,"[""Theodore Hesburgh Library""]"
q_150,How many books are housed at the Theodore Hesburgh Library?,"[""almost 4 million""]"
q_151,Construction for which hall started on March 8th 2007 at Notre Dame?,"[""Duncan Hall""]"
q_152,Which baseball stadium is found at Notre Dame?,"[""Frank Eck Stadium""]"
q_153,In what year did Notre Dame create the Office of Sustainability?,"[""2008""]"
q_154,What percentage of the food served at Notre Dame is locally grown?,"[""40%""]"
q_155,"Notre Dame got a ""B"" for its sustainability practices from which entity?","[""Sustainable Endowments Institute""]"
q_156,Gustavo Gutierrez is faculty of which institute?,"[""Kroc Institute for International Peace Studies""]"
q_157,In what year did Notre Dame first have a facility in England?,"[""1968""]"
q_158,At which location is the London Center operated by Notre Dame found?,"[""1 Suffolk Street in Trafalgar Square""]"
q_159,"Notre Dame has a center in Beijing, what is it referred to as?","[""Global Gateways""]"
q_160,In what year did the Suffolk Street location start to house a Notre Dame facility?,"[""1998""]"
q_161,What was Notre Dame's first college?,"[""The College of Arts and Letters""]"
q_162,In what year was the The College of Arts and Letters at Notre Dame created?,"[""1842""]"
q_163,In what year did the College of Arts and Letters at Notre Dame grant its first degree?,"[""1849""]"
q_164,On which university did Notre Dame base its curriculum on?,"[""Saint Louis University""]"
q_165,How many BA majors does the College of Arts and Letters at Notre Dame offer?,"[""33""]"
q_166,Which president at Notre Dame created the College of Science?,"[""Father Patrick Dillon""]"
q_167,In what year was the Notre Dame College of Science formed?,"[""1865""]"
q_168,How many years long was a scientific course under Patrick Dillon at Notre Dame?,"[""six years""]"
q_169,Which hall at Notre Dame contains the current College of Science?,"[""Jordan Hall of Science""]"
q_170,How many undergrad students attend the College of Science at Notre Dame today?,"[""over 1,200""]"
q_171,In 1899 Notre Dame formed which college?,"[""School of Architecture""]"
q_172,In what building is the current School of Architecture housed at Notre Dame?,"[""Bond Hall""]"
q_173,What length is the course of study at the Notre Dame School of Architecture?,"[""five-year""]"
q_174,In which location do students of the School of Architecture of Notre Dame spend their 3rd year?,"[""Rome""]"
q_175,Which prestigious prize does the School of Architecture at Notre Dame give out?,"[""Driehaus Architecture Prize""]"
q_176,In what year did the opening of a theology library at Notre Dame occur?,"[""2015""]"
q_177,Where is the theology library at Notre Dame?,"[""the first floor of Stanford Hall""]"
q_178,How many books are held by the Notre Dame libraries?,"[""over three million volumes""]"
q_179,Currently where does Notre Dame's library rank in the nation?,"[""one of the 100 largest""]"
q_180,What caused many intellectual Catholics to leave europe in the 1930s?,"[""The rise of Hitler and other dictators""]"
q_181,From where did Anton-Hermann Chroust come to reach Notre Dame?,"[""Germany""]"
q_182,What field of study did Anton-Hermann Chroust specialize in?,"[""classics and law""]"
q_183,Who did Waldemar Gurian receive his tutelage under while seeking his doctorate?,"[""Max Scheler""]"
q_184,What was Ivan Meštrović known for being?,"[""a renowned sculptor""]"
q_185,"The school known as Notre Dame is known by a more lengthy name, what is it?","[""University of Notre Dame du""]"
q_186,What type of institution is the Notre Dame?,"[""Catholic research university""]"
q_187,The French words Notre Dame du Lac translate to what in English?,"[""Our Lady of the Lake""]"
q_188,Who is the patron saint of Notre Dame?,"[""the Virgin Mary""]"
q_189,How large is Notre Dame in acres?,"[""1,250""]"
q_190,What caused Notre Dame to become notable in the early 20th century?,"[""its Fighting Irish football team""]"
q_191,Which 20th century Notre Dame football coach is most notable?,"[""Knute Rockne""]"
q_192,Which athletic association are the student athletes at Notre Dame a part of?,"[""NCAA Division I""]"
q_193,How many students at Notre Dame received the Heisman Trophy?,"[""seven""]"
q_194,"There were multiple students from Notre Dame who entered the Pro Football Hall of Fame, how many?","[""13""]"
q_195,Where among US universities does Notre Dame rank?,"[""among the top twenty""]"
q_196,How many individual colleges are part of Notre Dame?,"[""four""]"
q_197,Which prize does the Architecture School at Notre Dame give out?,"[""Driehaus Architecture Prize""]"
q_198,How many doctorate and masters programs are available at Notre Dame?,"[""more than 50""]"
q_199,Which art museum does Notre Dame administer?,"[""Snite Museum of Art""]"
q_200,In what year was Father Edward Sorin given two years to create a college?,"[""1842""]"
q_201,Which individual offered land to Father Edward Sorin?,"[""Célestine Guynemer de la Hailandière""]"
q_202,Which church was Father Edward Sorin representing?,"[""the Congregation of the Holy Cross""]"
q_203,On what date did brothers from Holy Cross arrive at the future location of Notre Dame?,"[""November 26, 1842""]"
q_204,Which structure was the first used for the purposes of the college?,"[""Father Stephen Badin's old log chapel""]"
q_205,In what year did the initial degrees get handed out at Notre Dame?,"[""1849""]"
q_206,In what year did the original Sorin built Main Building get replaced?,"[""1865""]"
q_207,Which individual began a library at Notre Dame?,"[""Father Lemonnier""]"
q_208,"In what year had the library at Notre Dame reach 10,000 books?","[""1879""]"
q_209,In what year was the library at Notre Dame started?,"[""1873""]"
q_210,Which television station finds its home at Notre Dame?,"[""NDtv""]"
q_211,How many programs did NDtv feature in 2002?,"[""one show""]"
q_212,Which radio station provides radio to the students of Notre Dame at 88.9 FM?,"[""WSND-FM""]"
q_213,Which internet radio station of Notre Dame is served as an internet stream?,"[""WVFI""]"
q_214,How much is Eddy Street Commons at Notre Dame expected to cost?,"[""$215 million""]"
q_215,When was ground broke on the Eddy Street Commons Project of Notre Dame?,"[""June 3, 2008""]"
q_216,Who is the developer of Eddy Street Commons?,"[""Kite Realty""]"
q_217,Which entity did Notre Dame hire to build a parking structure outside of Eddy Street Commons?,"[""the City of South Bend""]"
q_218,"There were protested as a part of the construction at Eddy Street Commons, they came due tot he hiring of whom?","[""non-union workers""]"
q_219,What does the acronym NCAA stand for?,"[""National Collegiate Athletic Association""]"
q_220,Which league did Notre Dame Fighting Irish teams participate in in 1982?,"[""Horizon League""]"
q_221,What when conference do the Notre Dame fencing teams take part in?,"[""Midwest Fencing Conference""]"
q_222,"There is a conference that the male hockey team of Notre Dame competes in, what is it?","[""Hockey East""]"
q_223,In what conference did the Fighting Irish take part in in 2012?,"[""Big East Conference""]"
q_224,To what conference did the Fighting Irish go after the Big East?,"[""the ACC""]"
q_225,How many teams in each season do the Fighting Irish commit to play against ACC opponents?,"[""five""]"
q_226,"Where did the Fighting Irish hockey team compete prior to a move to Hockey East, in terms of conference?","[""Central Collegiate Hockey Association""]"
q_227,What colors are the official ones used by Notre Dame in sport competition?,"[""Navy Blue and Gold Rush""]"
q_228,What type of mascot do the Notre Dame sport teams have?,"[""Leprechaun""]"
q_229,Who currently provides uniforms to Notre Dame sport teams?,"[""Under Armour""]"
q_230,What is the value of the contract between Under Armour and Notre Dame?,"[""almost $100 million""]"
q_231,When did the Notre Dame marching band form?,"[""1846""]"
q_232,What is notable about the Notre Dame marching band?,"[""oldest university band in continuous existence in the United States""]"
q_233,What is the Notre Dame fight song?,"[""Notre Dame Victory March""]"
q_234,Which team did Notre Dame's football team find inspiration from?,"[""Michigan Wolverines football team""]"
q_235,In what year did Notre Dame football begin?,"[""1887""]"
q_236,What university is Notre Dame tied with in terms of most Heisman Trophy winners?,"[""Ohio State University""]"
q_237,Against which team does Notre Dame compete for the Jeweled Shillelagh?,"[""USC""]"
q_238,In terms of Notre Dame students in the College Football Hall of Fame the amount of students named is what ?,"[""the most""]"
q_239,What notable football player played at Notre Dame from 1916 to 1920?,"[""George Gipp""]"
q_240,"Against which opponent did Knute Rockne tell his team to ""win one for the Gipper?""","[""the Army team""]"
q_241,"Which person portrayed Knute Rockne in the 1940 movie ""Knute Rockne?""","[""Pat O'Brien""]"
q_242,"Ronald Reagan played the role of whom in 1940's ""Knute Rockne?""","[""Gipp""]"
q_243,How many seats are in Notre Dame Stadium?,"[""80,795""]"
q_244,What is displayed at Zahm House for football home games at Notre Dame?,"[""two-story banner""]"
q_245,What occurs at midnight preceding a football home game at Notre Dame?,"[""the Drummers' Circle""]"
q_246,From where does the Band of the Fighting Irish lead a march to the Notre Dame Stadium for football home games?,"[""the steps of Bond Hall""]"
q_247,What songs does the trumpet section of the Band of the Fighting Irish play preceding home football games?,"[""the Notre Dame Victory March and the Notre Dame Alma Mater""]"
q_248,On what day do Notre Dame home football games occur?,"[""Saturday""]"
q_249,How many wins does the Notre Dame men's basketball team have?,"[""over 1,600""]"
q_250,How many schools have a similar men's basketball record to Notre Dame in terms of wins?,"[""12""]"
q_251,How many NCAA tournaments did the Notre Dame men's basketball team take part in?,"[""28""]"
q_252,Which Notre Dame men's basketball player has the record for more points in one game?,"[""Austin Carr""]"
q_253,Who was the Notre Dame men's basketball coach in 2014?,"[""Mike Brey""]"
q_254,Who wrote the original lyrics to the Notre Dame Victory March?,"[""John F. Shea""]"
q_255,In what year did Michael J. Shea graduate from Notre Dame?,"[""1904""]"
q_256,"Who is responsible for writing the music for ""Notre Dame Victory March?""","[""Rev. Michael J. Shea""]"
q_257,"In what year did ""Notre Dame Victory March"" get copyrighted?","[""1928""]"
q_258,"To where are the loyal sons in ""Notre Dame Fight Song"" marching?","[""onward to victory""]"
q_259,"Ronald Reagan had a nickname, what was it?","[""The Gipper""]"
q_260,"In what film did a parody of the ""Win one for the Gipper"" speech appear?","[""Airplane!""]"
q_261,Who starred as Daniel Ruettiger in the film Rudy?,"[""Sean Astin""]"
q_262,Which person was a former comrade to Ted Striker in the film Airplane!?,"[""George Zipp""]"
q_263,Pat O'Brien portrayed which person in the film Knute Rockne?,"[""Knute Rockne""]"
q_264,Which Secretary of State attended Notre Dame?,"[""Condoleezza Rice""]"
q_265,Which Notre Dame alum from the College of Science won a Nobel Prize?,"[""Eric F. Wieschaus""]"
q_266,Who is the current president of Notre Dame?,"[""Rev. John Jenkins""]"
q_267,Mariel Zagunis is notable for winning what?,"[""Olympic gold""]"
q_268,Which notable astronaut is known to have attended Notre Dame?,"[""Jim Wetherbee""]"
q_269,When did Beyonce start becoming popular?,"[""in the late 1990s""]"
q_270,What areas did Beyonce compete in when she was growing up?,"[""singing and dancing""]"
q_271,When did Beyonce leave Destiny's Child and become a solo singer?,"[""2003""]"
q_272,In what city and state did Beyonce grow up?,"[""Houston, Texas""]"
q_273,In which decade did Beyonce become famous?,"[""late 1990s""]"
q_274,In what R&B group was she the lead singer?,"[""Destiny's Child""]"
q_275,What album made her a worldwide known artist?,"[""Dangerously in Love""]"
q_276,Who managed the Destiny's Child group?,"[""Mathew Knowles""]"
q_277,In what city did Beyonce grow up?,"[""Houston""]"
q_278,What was the name of Beyonce's first solo album?,"[""Dangerously in Love""]"
q_279,On what date was Beyonce born?,"[""September 4, 1981""]"
q_280,What is Beyonce's full name?,"[""Beyoncé Giselle Knowles-Carter""]"
q_281,When did Beyoncé rise to fame?,"[""late 1990s""]"
q_282,What role did Beyoncé have in Destiny's Child?,"[""lead singer""]"
q_283,What was the first album Beyoncé released as a solo artist?,"[""Dangerously in Love""]"
q_284,When did Beyoncé release Dangerously in Love?,"[""2003""]"
q_285,How many Grammy awards did Beyoncé win for her first solo album?,"[""five""]"
q_286,What was Beyoncé's role in Destiny's Child?,"[""lead singer""]"
q_287,What was the name of Beyoncé's first solo album?,"[""Dangerously in Love""]"
q_288,When did Beyoncé release her first solo album?,"[""2003""]"
q_289,"After her second solo album, what other entertainment venture did Beyonce explore?","[""acting""]"
q_290,Which artist did Beyonce marry?,"[""Jay Z""]"
q_291,"To set the record for Grammys, how many did Beyonce win?","[""six""]"
q_292,For what movie did Beyonce receive her first Golden Globe nomination?,"[""Dreamgirls""]"
q_293,When did Beyonce take a hiatus in her career and take control of her management?,"[""2010""]"
q_294,Which album was darker in tone from her previous work?,"[""Beyoncé""]"
q_295,"After what movie portraying Etta James, did Beyonce create Sasha Fierce?","[""Cadillac Records""]"
q_296,When did Destiny's Child end their group act?,"[""June 2005""]"
q_297,What was the name of Beyoncé's second solo album?,"[""B'Day""]"
q_298,"What was Beyoncé's first acting job, in 2006?","[""Dreamgirls""]"
q_299,Who is Beyoncé married to?,"[""Jay Z""]"
q_300,What is the name of Beyoncé's alter-ego?,"[""Sasha Fierce""]"
q_301,"In her music, what are some recurring elements in them?","[""love, relationships, and monogamy""]"
q_302,Time magazine named her one of the most 100 what people of the century?,"[""influential""]"
q_303,Which magazine declared her the most dominant woman musician?,"[""Forbes""]"
q_304,In which decade did the Recording Industry Association of America recognize Beyonce as the The Top Certified Artist?,"[""2000s""]"
q_305,What magazine rated Beyonce as the most powerful female musician in 2015?,"[""Forbes""]"
q_306,How did Beyonce describe herself as a feminist?,"[""modern-day feminist""]"
q_307,In which years did Time rate Beyonce in the 100 most influential people in the world?,"[""2013 and 2014""]"
q_308,How many records has Beyonce sold in her 19 year career?,"[""118 million""]"
q_309,How many records did Beyoncé sell as part of Destiny's Child?,"[""60 million""]"
q_310,"After leaving Destiny's Child, how many records did Beyoncé release under her own name?","[""118 million""]"
q_311,How many Grammy awards has Beyoncé won?,"[""20""]"
q_312,What magazine named Beyoncé as the most powerful female musician for 2015?,"[""Forbes""]"
q_313,Beyonce's younger sibling also sang with her in what band?,"[""Destiny's Child""]"
q_314,Where did Beyonce get her name from?,"[""her mother's maiden name""]"
q_315,What race was Beyonce's father?,"[""African-American""]"
q_316,Beyonce's childhood home believed in what religion?,"[""Methodist""]"
q_317,Beyonce's father worked as a sales manager for what company?,"[""Xerox""]"
q_318,Beyonce's mother worked in what industry?,"[""hairdresser and salon owner""]"
q_319,What younger sister of Beyonce also appeared in Destiny's Child?,"[""Solange""]"
q_320,Beyonce is a descendent of what Arcadian leader?,"[""Joseph Broussard""]"
q_321,What company did Beyoncé's father work for when she was a child?,"[""Xerox""]"
q_322,What did Beyoncé's mother own when Beyoncé was a child?,"[""salon""]"
q_323,What is the name of Beyoncé's younger sister?,"[""Solange""]"
q_324,Beyoncé is a descendant of which Acadian leader?,"[""Joseph Broussard.""]"
q_325,Beyoncé was raised in what religion?,"[""Methodist""]"
q_326,What town did Beyonce go to school in?,"[""Fredericksburg""]"
q_327,Who was the first person to notice Beyonce's singing ability?,"[""Darlette Johnson""]"
q_328,Beyonce moved to which town after she left her first elementary school?,"[""Houston""]"
q_329,Which of her teachers discovered Beyonce's musical talent?,"[""dance instructor Darlette Johnson""]"
q_330,I which church was Beyonce a member and soloist in the choir?,"[""St. John's United Methodist Church""]"
q_331,What type of school was Parker Elementary School?,"[""music magnet school""]"
q_332,Which song did Beyonce sing to win a competition at age 7?,"[""Imagine""]"
q_333,What city was Beyoncé's elementary school located in?,"[""Fredericksburg""]"
q_334,What was the name of Beyoncé's first dance instructor?,"[""Darlette Johnson""]"
q_335,How old was Beyoncé when she won a school talent show?,"[""seven""]"
q_336,What choir did Beyoncé sing in for two years?,"[""St. John's United Methodist Church""]"
q_337,Who decided to place Beyonce's group in Star Search the talent show?,"[""Arne Frager""]"
q_338,"In 1995, who decided to manage the girls singing group?","[""Beyoncé's father""]"
q_339,Who was the first record label to give the girls a record deal?,"[""Elektra Records""]"
q_340,Who brought Beyonce to California and enter her group in Star Search?,"[""Arne Frager""]"
q_341,In what year did Beyonce's father quit his job to manage her group?,"[""1995""]"
q_342,What large record company recorded Beyonce's group's first album?,"[""Sony Music""]"
q_343,What record company first signed Beyonce's group and later cut them?,"[""Elektra Records""]"
q_344,At what age did Beyonce meet LaTavia Robertson?,"[""age eight""]"
q_345,How old was Beyoncé when she met LaTavia Roberson?,"[""eight""]"
q_346,What was the name of the first group Beyoncé was a part of?,"[""Girl's Tyme""]"
q_347,Who placed Girl's Tyme in Star Search?,"[""Arne Frager""]"
q_348,When did Beyoncé begin to manage the girl group?,"[""1995""]"
