qid,question,answer_with_context,model
q_230,What is the value of the contract between Under Armour and Notre Dame?,almost $100 million,gemma2-9b-it
q_231,When did the Notre Dame marching band form?,1846,gemma2-9b-it
q_232,What is notable about the Notre Dame marching band?,It is the oldest university band in continuous existence in the United States,gemma2-9b-it
q_233,What is the Notre Dame fight song?,Notre Dame Victory March,gemma2-9b-it
q_234,Which team did Notre Dame's football team find inspiration from?,Army,gemma2-9b-it
q_235,In what year did Notre Dame football begin?,1887,gemma2-9b-it
q_236,What university is Notre Dame tied with in terms of most Heisman Trophy winners?,Ohio State University,gemma2-9b-it
q_237,Against which team does Notre Dame compete for the Jeweled Shillelagh?,USC,gemma2-9b-it
q_238,In terms of Notre Dame students in the College Football Hall of Fame the amount of students named is what ?,62,gemma2-9b-it
q_239,What notable football player played at Notre Dame from 1916 to 1920?,George Gipp,gemma2-9b-it
q_24,The granting of Doctorate degrees first occurred in what year at Notre Dame?,1924,gemma2-9b-it
q_240,"Against which opponent did Knute Rockne tell his team to ""win one for the Gipper?""",Army,gemma2-9b-it
q_241,"Which person portrayed Knute Rockne in the 1940 movie ""Knute Rockne?""",Pat O'Brien,gemma2-9b-it
q_242,"Ronald Reagan played the role of whom in 1940's ""Knute Rockne?""",George Gipp,gemma2-9b-it
q_243,How many seats are in Notre Dame Stadium?,"80,795",gemma2-9b-it
q_244,What is displayed at Zahm House for football home games at Notre Dame?,two-story banner,gemma2-9b-it
q_245,What occurs at midnight preceding a football home game at Notre Dame?,Drummers' Circle,gemma2-9b-it
q_246,From where does the Band of the Fighting Irish lead a march to the Notre Dame Stadium for football home games?,Bond Hall,gemma2-9b-it
q_247,What songs does the trumpet section of the Band of the Fighting Irish play preceding home football games?,The Notre Dame Victory March and the Notre Dame Alma Mater,gemma2-9b-it
q_248,On what day do Notre Dame home football games occur?,Saturday,gemma2-9b-it
q_249,How many wins does the Notre Dame men's basketball team have?,"Over 1,600",gemma2-9b-it
q_25,What type of degree is an M.Div.?,Master of Divinity,gemma2-9b-it
q_250,How many schools have a similar men's basketball record to Notre Dame in terms of wins?,12,gemma2-9b-it
q_251,How many NCAA tournaments did the Notre Dame men's basketball team take part in?,28,gemma2-9b-it
q_252,Which Notre Dame men's basketball player has the record for more points in one game?,Austin Carr,gemma2-9b-it
q_253,Who was the Notre Dame men's basketball coach in 2014?,Mike Brey,gemma2-9b-it
q_254,Who wrote the original lyrics to the Notre Dame Victory March?,John F,gemma2-9b-it
q_255,In what year did Michael J. Shea graduate from Notre Dame?,1904,gemma2-9b-it
q_256,"Who is responsible for writing the music for ""Notre Dame Victory March?""",Rev,gemma2-9b-it
q_257,"In what year did ""Notre Dame Victory March"" get copyrighted?",1928,gemma2-9b-it
q_258,"To where are the loyal sons in ""Notre Dame Fight Song"" marching?",onward to victory,gemma2-9b-it
q_259,"Ronald Reagan had a nickname, what was it?",The Gipper,gemma2-9b-it
q_26,Which program at Notre Dame offers a Master of Education degree?,Alliance for Catholic Education program,gemma2-9b-it
q_260,"In what film did a parody of the ""Win one for the Gipper"" speech appear?",Airplane,gemma2-9b-it
q_261,Who starred as Daniel Ruettiger in the film Rudy?,Sean Astin,gemma2-9b-it
q_262,Which person was a former comrade to Ted Striker in the film Airplane!?,George Zipp,gemma2-9b-it
q_263,Pat O'Brien portrayed which person in the film Knute Rockne?,Knute Rockne,gemma2-9b-it
q_264,Which Secretary of State attended Notre Dame?,Condoleezza Rice,gemma2-9b-it
q_265,Which Notre Dame alum from the College of Science won a Nobel Prize?,Eric F,gemma2-9b-it
q_266,Who is the current president of Notre Dame?,The Rev,gemma2-9b-it
q_267,Mariel Zagunis is notable for winning what?,Olympic gold medal,gemma2-9b-it
q_268,Which notable astronaut is known to have attended Notre Dame?,Jim Wetherbee,gemma2-9b-it
q_269,When did Beyonce start becoming popular?,Since the release of Dangerously in Love,gemma2-9b-it
q_27,In what year was a Master of Arts course first offered at Notre Dame?,1854-1855,gemma2-9b-it
q_270,What areas did Beyonce compete in when she was growing up?,UNKNOWN,gemma2-9b-it
q_271,When did Beyonce leave Destiny's Child and become a solo singer?,2003,gemma2-9b-it
q_272,In what city and state did Beyonce grow up?,UNKNOWN,gemma2-9b-it
q_273,In which decade did Beyonce become famous?,2000s,gemma2-9b-it
q_274,In what R&B group was she the lead singer?,Destiny's Child,gemma2-9b-it
q_275,What album made her a worldwide known artist?,The Writing's on the Wall,gemma2-9b-it
q_276,Who managed the Destiny's Child group?,Mathew Knowles,gemma2-9b-it
q_277,In what city did Beyonce grow up?,UNKNOWN,gemma2-9b-it
q_278,What was the name of Beyonce's first solo album?,Dangerously in Love,gemma2-9b-it
q_279,On what date was Beyonce born?,"September 4, 1981",gemma2-9b-it
q_28,Which department at Notre Dame is the only one to not offer a PhD program?,Department of Pre-Professional Studies,gemma2-9b-it
q_280,What is Beyonce's full name?,UNKNOWN,gemma2-9b-it
q_281,When did Beyoncé rise to fame?,UNKNOWN,gemma2-9b-it
q_282,What role did Beyoncé have in Destiny's Child?,Lead singer,gemma2-9b-it
q_283,What was the first album Beyoncé released as a solo artist?,Dangerously in Love,gemma2-9b-it
q_284,When did Beyoncé release Dangerously in Love?,"June 24, 2003",gemma2-9b-it
q_285,How many Grammy awards did Beyoncé win for her first solo album?,5,gemma2-9b-it
q_286,What was Beyoncé's role in Destiny's Child?,Lead singer,gemma2-9b-it
q_287,What was the name of Beyoncé's first solo album?,Dangerously in Love,gemma2-9b-it
q_288,When did Beyoncé release her first solo album?,"June 24, 2003",gemma2-9b-it
q_289,"After her second solo album, what other entertainment venture did Beyonce explore?",Acting,gemma2-9b-it
q_29,What institute at Notre Dame studies the reasons for violent conflict?,Joan B,gemma2-9b-it
q_290,Which artist did Beyonce marry?,Jay Z,gemma2-9b-it
q_291,"To set the record for Grammys, how many did Beyonce win?",UNKNOWN,gemma2-9b-it
q_292,For what movie did Beyonce receive her first Golden Globe nomination?,Dreamgirls,gemma2-9b-it
q_293,When did Beyonce take a hiatus in her career and take control of her management?,UNKNOWN,gemma2-9b-it
q_294,Which album was darker in tone from her previous work?,Beyoncé (2013),gemma2-9b-it
q_295,"After what movie portraying Etta James, did Beyonce create Sasha Fierce?",Cadillac Records,gemma2-9b-it
q_296,When did Destiny's Child end their group act?,"June 11, 2005",gemma2-9b-it
q_297,What was the name of Beyoncé's second solo album?,B'Day,gemma2-9b-it
q_298,"What was Beyoncé's first acting job, in 2006?",The Pink Panther,gemma2-9b-it
q_299,Who is Beyoncé married to?,Jay Z,gemma2-9b-it
q_3,What is the Grotto at Notre Dame?,A Marian place of prayer and reflection,gemma2-9b-it
q_30,What is the title of Notre Dame's Theodore Hesburgh?,President,gemma2-9b-it
q_300,What is the name of Beyoncé's alter-ego?,Sasha Fierce,gemma2-9b-it
q_302,Time magazine named her one of the most 100 what people of the century?,influential,gemma2-9b-it
q_303,Which magazine declared her the most dominant woman musician?,Forbes,gemma2-9b-it
q_304,In which decade did the Recording Industry Association of America recognize Beyonce as the The Top Certified Artist?,2000s,gemma2-9b-it
q_305,What magazine rated Beyonce as the most powerful female musician in 2015?,Forbes,gemma2-9b-it
q_306,How did Beyonce describe herself as a feminist?,a modern-day feminist,gemma2-9b-it
q_307,In which years did Time rate Beyonce in the 100 most influential people in the world?,"2013, 2014",gemma2-9b-it
q_308,How many records has Beyonce sold in her 19 year career?,118 million,gemma2-9b-it
q_309,How many records did Beyoncé sell as part of Destiny's Child?,60 million,gemma2-9b-it
q_31,In what year was the Joan B. Kroc Institute for International Peace Studies founded?,1986,gemma2-9b-it
q_310,"After leaving Destiny's Child, how many records did Beyoncé release under her own name?",UNKNOWN,gemma2-9b-it
q_311,How many Grammy awards has Beyoncé won?,20,gemma2-9b-it
q_312,What magazine named Beyoncé as the most powerful female musician for 2015?,Forbes,gemma2-9b-it
q_313,Beyonce's younger sibling also sang with her in what band?,Destiny's Child,gemma2-9b-it
q_314,Where did Beyonce get her name from?,UNKNOWN,gemma2-9b-it
q_315,What race was Beyonce's father?,UNKNOWN,gemma2-9b-it
q_316,Beyonce's childhood home believed in what religion?,UNKNOWN,gemma2-9b-it
q_317,Beyonce's father worked as a sales manager for what company?,Xerox,gemma2-9b-it
q_318,Beyonce's mother worked in what industry?,Hairdressing,gemma2-9b-it
q_319,What younger sister of Beyonce also appeared in Destiny's Child?,Solange,gemma2-9b-it
q_32,To whom was John B. Kroc married?,Joan B,gemma2-9b-it
q_320,Beyonce is a descendent of what Arcadian leader?,Joseph Broussard,gemma2-9b-it
q_321,What company did Beyoncé's father work for when she was a child?,Grass Roots Entertainment,gemma2-9b-it
q_322,What did Beyoncé's mother own when Beyoncé was a child?,A hair salon,gemma2-9b-it
q_323,What is the name of Beyoncé's younger sister?,Solange,gemma2-9b-it
q_324,Beyoncé is a descendant of which Acadian leader?,Joseph Broussard,gemma2-9b-it
q_325,Beyoncé was raised in what religion?,Methodist,gemma2-9b-it
q_326,What town did Beyonce go to school in?,Fredericksburg,gemma2-9b-it
q_327,Who was the first person to notice Beyonce's singing ability?,UNKNOWN,gemma2-9b-it
q_328,Beyonce moved to which town after she left her first elementary school?,Houston,gemma2-9b-it
q_329,Which of her teachers discovered Beyonce's musical talent?,Darlette Johnson,gemma2-9b-it
q_33,What company did Ray Kroc own?,McDonald's,gemma2-9b-it
q_330,I which church was Beyonce a member and soloist in the choir?,St,gemma2-9b-it
q_331,What type of school was Parker Elementary School?,music magnet school,gemma2-9b-it
q_332,Which song did Beyonce sing to win a competition at age 7?,Imagine,gemma2-9b-it
q_333,What city was Beyoncé's elementary school located in?,Fredericksburg,gemma2-9b-it
q_334,What was the name of Beyoncé's first dance instructor?,Darlette Johnson,gemma2-9b-it
q_335,How old was Beyoncé when she won a school talent show?,seven,gemma2-9b-it
q_336,What choir did Beyoncé sing in for two years?,St,gemma2-9b-it
q_337,Who decided to place Beyonce's group in Star Search the talent show?,Arne Frager,gemma2-9b-it
q_338,"In 1995, who decided to manage the girls singing group?",Mathew Knowles,gemma2-9b-it
q_339,Who was the first record label to give the girls a record deal?,Elektra Records,gemma2-9b-it
q_34,How many stories tall is the main library at Notre Dame?,14,gemma2-9b-it
q_340,Who brought Beyonce to California and enter her group in Star Search?,Arne Frager,gemma2-9b-it
q_341,In what year did Beyonce's father quit his job to manage her group?,1995,gemma2-9b-it
q_342,What large record company recorded Beyonce's group's first album?,Columbia Records,gemma2-9b-it
q_343,What record company first signed Beyonce's group and later cut them?,Elektra Records,gemma2-9b-it
q_344,At what age did Beyonce meet LaTavia Robertson?,8,gemma2-9b-it
q_345,How old was Beyoncé when she met LaTavia Roberson?,8,gemma2-9b-it
q_346,What was the name of the first group Beyoncé was a part of?,Destiny's Child,gemma2-9b-it
q_347,Who placed Girl's Tyme in Star Search?,Arne Frager,gemma2-9b-it
q_348,When did Beyoncé begin to manage the girl group?,1995,gemma2-9b-it
q_349,"Who signed the girl group on October 5, 1995?",Dwayne Wiggins's Grass Roots Entertainment,gemma2-9b-it
q_35,What is the name of the main library at Notre Dame?,Theodore M,gemma2-9b-it
q_350,Which film featured Destiny's Child's first major single?,Men in Black,gemma2-9b-it
q_351,"For which song, did Destiny's Child take home the grammy award for best R&B performance?",Say My Name,gemma2-9b-it
q_352,"Who did Beyonce record with for the movie ""The Best Man?""",Marc Nelson,gemma2-9b-it
q_353,Beyonce's group changed their name to Destiny's Child in what year?,1996,gemma2-9b-it
q_354,The name Destiny's Child was based on a quote in which book of the Bible?,Isaiah,gemma2-9b-it
q_355,"Debut song, ""Killing Time"" was featured on what movie's sound track?",Men in Black,gemma2-9b-it
q_356,What song won Best R&B Performance in the 43 Annual Grammy Awards?,Say My Name,gemma2-9b-it
q_357,"What singer did Beyonce record a song with for the movie, ''The Best Man""?",Marc Nelson,gemma2-9b-it
q_358,Where did Destiny's Child get their name from?,A passage in the Book of Isaiah,gemma2-9b-it
q_359,"Destiny's Child song, Killing Time, was included in which film's soundtrack?",Men in Black,gemma2-9b-it
q_36,In what year was the Theodore M. Hesburgh Library at Notre Dame finished?,1963,gemma2-9b-it
q_360,What was Destiny's Child's first major song hit?,"No, No, No",gemma2-9b-it
q_361,When did Destiny's Child release their second album?,1999,gemma2-9b-it
q_362,"Who did Beyoncé sing a duet with for ""The Best Man"" film?",Marc Nelson,gemma2-9b-it
q_363,What mental health issue did Beyonce go through?,UNKNOWN,gemma2-9b-it
q_364,What event occured after she was publicly criticized?,Beyoncé experienced depression,gemma2-9b-it
q_365,Who supported Beyonce through her depression?,Her mother,gemma2-9b-it
q_366,What event caused Beyonce's depression?,The split with Luckett and Roberson,gemma2-9b-it
q_367,How long was Beyonce depressed?,A couple of years,gemma2-9b-it
q_368,Who helped Beyonce fight her depression the most?,Her mother,gemma2-9b-it
q_369,Who replaced Luckett and Roberson in Destiny's Child?,Farrah Franklin and Michelle Williams,gemma2-9b-it
q_37,Which artist created the mural on the Theodore M. Hesburgh Library?,Millard Sheets,gemma2-9b-it
q_370,Who was blamed for Luckett and Roberson leaving Destiny's Child?,Beyoncé,llama3-8b-8192
q_371,Who helped Beyoncé overcome her depression during the years following the Destiny's Child split?,Her mother,llama3-8b-8192
q_372,Which newest member was removed from Destiny's Child?,UNKNOWN,llama3-8b-8192
q_373,"""Charlie's Angels"" featured which single from the band members?",Independent Women Part I,llama3-8b-8192
q_374,"How many weeks did their single ""Independent Women Part I"" stay on top?",Eleven consecutive weeks,llama3-8b-8192
q_375,"For what network, did Beyonce land a major movie role in?",MTV,llama3-8b-8192
q_376,"Their third album, Survivor, sold how many during its first week?","663,000",llama3-8b-8192
q_377,What French composer wrote the original opera ''Carmen'' in the 19th century?,Georges Bizet,llama3-8b-8192
q_378,What album caused a lawsuit to be filed in 2001?,Survivor,llama3-8b-8192
q_379,Independent Women Part I was on which 2000 film's soundtrack?,Charlie's Angels,llama3-8b-8192
q_38,What is a common name to reference the mural created by Millard Sheets at Notre Dame?,Touchdown Jesus,llama3-8b-8192
q_380,Which film did Beyoncé star in 2001 with Mekhi Phifer?,Carmen: A Hip Hopera,llama3-8b-8192
q_381,What was the name of Destiny Child's third album?,Survivor,llama3-8b-8192
q_382,Who filed a lawsuit over Survivor?,Luckett and Roberson,llama3-8b-8192
q_383,When did Destiny's Child announce their hiatus?,"After releasing their holiday album 8 Days of Christmas in October 2001, the group announced a hiatus to further pursue solo careers",llama3-8b-8192
